Phone Name,Free Delivery (Exact Match),Free Delivery (Partial Match),Price,RAM,ROM,Display,Camera,Battery,Processor,Warranty
"realme 70 TURBO 5G (Turbo Purple, 256 GB)",Yes,Yes,"₹20,395",12 GB,256 GB,16.94 cm (6.67 inch) Full HD+ Display,50MP Rear Camera,5000 mAh Battery,Segment's Fastest Dimensity 7300 Energy 5G Chipset Processor,
"realme 70 TURBO 5G (Yellow, 128 GB)",Yes,Yes,"₹15,848",8 GB,128 GB,16.94 cm (6.67 inch) Full HD+ Display,50MP Rear Camera,5000 mAh Battery,Segment's Fastest Dimensity 7300 Energy 5G Chipset Processor,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
"realme 70 TURBO 5G (Turbo Green, 256 GB)",Yes,Yes,"₹18,990",12 GB,256 GB,16.94 cm (6.67 inch) Full HD+ Display,50MP Rear Camera,5000 mAh Battery,Segment's Fastest Dimensity 7300 Energy 5G Chipset Processor,
"realme Narzo 80 Pro 5G (Speed Silver, 256 GB)",Yes,Yes,"₹22,659",12 GB,256 GB,17.2 cm (6.77 inch) Display,50MP Rear Camera,6000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme Narzo 80 Pro 5G (Speed Silver, 256 GB)",Yes,Yes,"₹20,784",8 GB,256 GB,17.2 cm (6.77 inch) Display,50MP Rear Camera,6000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme NARZO 80 Pro 5G (Speed Silver, 128 GB)",Yes,Yes,"₹18,859",8 GB,128 GB,17.02 cm (6.7 inch) Display,50MP Rear Camera,6000 mAh Battery,,1 Year Warranty on Handset and 6 Months Warranty on Accessories
